Название видеоролика;Описание;Количество просмотров;Url видеоролика
Первые, в жизни малышей, детские групповые выступления по художественной гимнастике;"Детские групповые выступления по художественной гимнастике. 2011 год рождения, клуб ""Весенняя Ласточка""....";18205959;https://www.youtube.com/watch?v=eVDbauVSVD8
Художественная гимнастика Дети Миронченкова Таня Зажигательное выступление;Зажигательное выступление маленькой гимнастки Татьяны Миронченковой. Гимнастка 2009 года рождения. Одна...;3566773;https://www.youtube.com/watch?v=3cJHU1YBZng
Неженец Анна. Художественная гимнастика 4 года дети;"Художественная гимнастика. День открытых дверей ДЮСШ ""Чернигов""";363667;https://www.youtube.com/watch?v=kpKYcNwjMK4
"Художественная гимнастика дети ""Весенняя Ласточка""";Тренировки малышей по художественной гимнастике в зале и на улице, а так же заключительное внутриклубное...;272672;https://www.youtube.com/watch?v=fF1rJn5tEok
Аверина Арина,лента. Первенство России по гимнастике г.Казань 2014;Averina Arina Благодарю мою племянницу Дашу за предоставленные видео! Первенство России по художественной гимна...;795563;https://www.youtube.com/watch?v=btKLwCqZBC0
"Головач Марія (БП) 18.10.2015 Художественная гимнастика. Турнир ДЮСШ ""Чернигов"" Дети 4-5 лет";"Головач Марія (БП) 2011г.р. Турнир по художественной гимнастике ДЮСШ ""Чернигов"" ""Золота осінь 2015"" 18 октября...";265535;https://www.youtube.com/watch?v=eDrQHSu2FBI
Центр художественной гимнастики «Олимпикс»;ВИДЕОПРОИЗВОДСТВО WWW.BULLETPROD.RU Снимаем видеоролики на различную тематику: свадьбы, корпоративы, музыкальные...;6434830;https://www.youtube.com/watch?v=l9EuAaTrbao
Растяжка передней поверхности бедра в художественной гимнастике;;4270366;https://www.youtube.com/watch?v=4kY9SZY3guY
Художественная гимнастика дети и растяжка Лучшие моменты  RHYTHMIC GYMNASTICS olympic sports;Дети в художественной гимнастике. Лучшие моменты с Открытого турнира по художественной гимнастике (олимпи...;10737296;https://www.youtube.com/watch?v=Lv9Vszw-Nb8
Как начинается Художественная гимнастика Дети и Тренировка;Художественная гимнастика красивый вид спорта. Обратная сторона медали видна не всем, но не стоит считать,...;1159905;https://www.youtube.com/watch?v=i_XJU9XWRXk
Детские групповые соревнования по художественной гимнастике РСОО;"Первые детские групповые выступления (турнир) малышей 2011 года на соревнованиях РСОО, клуб ""Весенняя ласточк...";413258;https://www.youtube.com/watch?v=USS2q-FWPoY
Открытый урок по художественной гимнастике (Самара) 2015;Открытый урок по художественной гимнастике в школе №92 города Самары.;806598;https://www.youtube.com/watch?v=q-zpObA4s_Q
"Довгаль Вероніка (мяч) 08.05.2016 ""Весняні ластівки 2016"" г.Чернигов Художественная гимнастика Дети";"Довгаль Вероніка (мяч) 2009р.н Тренер: Дубіна Ю.О. Первенство ДЮСШ ""Чернигов"" по художественной гимнастике...";21059;https://www.youtube.com/watch?v=pNTU71uqZYU
Открытый урок | Художественная гимнастика| ДЮСШ НП1 22.05.2018;В этом видео дети показывали чему научились и в конце сдавали зачет.;3199;https://www.youtube.com/watch?v=OkeHvO85ofw
"Кузіна Вероніка (обруч) 2007-Кат. А ""Перлина Полісся 2015"" Художественная гимнастика";"Кузіна Вероніка (обруч) 2007 р.н. Харків ДЮСШ х/г 2-й всеукраинский турнир по художественной гимнастике ""Перлин...";74373;https://www.youtube.com/watch?v=by8LfE_jw4w
