Название видеоролика;Описание;Количество просмотров;Url видеоролика
Егор Крид feat. Филипп Киркоров - Цвет настроения черный (премьера клипа, 2018);Слушай и скачивай трек: https://black-star.ru/egorkreed Music production by Alex Davia Продюсер: Корнелия Поляк Режиссер-постановщик:...;68658409;https://www.youtube.com/watch?v=NcXNXnUr16Q
Тимати, Мот, Егор Крид, Pabl.A, Скруджи & НАZИМА – Над облаками (Премьера трека, 2018);Слушай трек на всех площадках: https://black-star.ru/black-star-mafia ----------------------------------------------------------- Автор слов: Юнусов...;554724;https://www.youtube.com/watch?v=oQOl32wHjpM
Егор Крид - Миллион алых роз (премьера клипа, 2018);Слушайте в Apple Music: https://black-star.ru/ek_million_am_yt Скачивайте в iTunes: https://black-star.ru/ek_million_it_yt Скачивайте в Google Play: ...;63792562;https://www.youtube.com/watch?v=6QnQr63T-Pw
ЛСП, Feduk, Егор Крид – Холостяк;Подписаться на канал: https://goo.gl/Pzs7Lx «Холостяк» в iTunes: https://apple.co/2xialPt «Холостяк» в BOOM: https://vk.cc/8uvzRO «Холостяк»...;13671767;https://www.youtube.com/watch?v=4TyF1nUHDDQ
Тимати feat. Егор Крид - Гучи (премьера клипа, 2018);Слушай и скачивай трек «Гучи»: https://black-star.ru/guci Билеты на концерты Егора Крида: Пенза, 21.09.2018: https://kreed.black-star.ru/pen...;61459882;https://www.youtube.com/watch?v=HfRZ67HSDdA
Егор Крид & Валерия - Часики (премьера трека, 2018);Слушай и скачивай трек здесь: https://black-star.ru/egorkreed Автор слов: Дробыш Е.И.(Стюф Л.), Булаткин Е.Н. Автор музыки:...;13416039;https://www.youtube.com/watch?v=vBtU-J-zFfk
Егор Крид - Слеза (премьера клипа, 2018);Билеты на концерты Егора Крида: Астрахань, 14.09.2018: https://kreed.black-star.ru/astrakhan/ Пенза, 21.09.2018: https://kreed.black-star.ru/pence/ Влад...;33797937;https://www.youtube.com/watch?v=p5wbLXdVvgQ
Егор Крид - Потрачу (премьера клипа, 2017);Билеты на концерты Егора Крида: Астрахань, 14.09.2018: https://kreed.black-star.ru/astrakhan/ Пенза, 21.09.2018: https://kreed.black-star.ru/pence/ Влад...;44945842;https://www.youtube.com/watch?v=JYd29LxU3-c
Тимати feat. Егор Крид - Где ты, где я (премьера клипа, 2016);"Скачивай альбом ""Олимп"" в iTunes: http://apple.co/1WaTzaR Организация концертов Тимати: Тел.: +7 (916) 109-33-36 (Надежда) E-mail: timatiboo...";181283421;https://www.youtube.com/watch?v=n70xejQ4tXs
Тимати feat. Мот, Егор Крид, Скруджи, Наzима & Terry - Ракета (премьера клипа, 2018);"8 октября, ""Известия Hall"" — музыкальный фестиваль Like Party. Участвуют артисты лейбла Black Star и другие звезды. Биле...";29691991;https://www.youtube.com/watch?v=i3khwURp4_0
